 Berryfield Apartments,None,None,Ms. Annette Wooley,Phone: ,(479) 717-2674,None,None,None,berryfield@ferguson-apts.com,Fax:  ,(479) 717-2675,None,None,None,https://www.berryfieldapartments.com/,None,None,"2353 Lowell Rd. Springdale, AR 72764",None,None,Apartments
Generations Bank,None,None,Ms. Amanda Rogers,Phone: ,(479) 439-4997,arogers@mygenerations.bank,Fax:  ,(479) 251-1581,None,None,None,http://www.mygenerations.bank,None,None,"3655 North Investment Dr. Fayetteville, AR 72703",None,None,None,None,None,Banks/Financial Institutions
Legacy National Bank,None,None,Patrick Swope,Phone: ,(479) 717-1900,patrick.swope@legacyar.com,Fax:  ,(479) 717-1920,None,None,None,http://www.legacyar.com,None,None,"4055 West Sunset Springdale, AR 72762",None,None,None,None,None,Banks/Financial Institutions
Northwest Arkansas Federal Credit Union,None,None,Ms. Amy Tyree,Phone: ,(479) 443-4401,None,None,None,amyt@nwarkansasfcu.com,Fax:  ,None,None,None,None,https://nwarkansasfcu.com/,None,None,"1460 North Woolsey Ave. Fayetteville, AR 72703",None,None,Banks/Financial Institutions
Partners Bank,None,None,Ms. Tracy Rabb,Phone: ,(479) 231-3281,trabb@partnersbnk.com,Fax:  ,None,None,None,None,http://www.partnersbnk.com,None,None,"3632 Johnson Mill Road, #107 Springdale, AR 72762",None,None,None,None,None,Banks/Financial Institutions
Signature Bank of Arkansas,None,None,Mr. Randall Harriman,Phone: ,(479) 466-4673,randall.harriman@mail.signature.bank,Fax:  ,(479) 361-6688,None,None,None,http://www.signature.bank,None,None,"1071 Har-Ber Lakes Dr. Springdale, AR 72762",None,None,None,None,None,Banks/Financial Institutions
Simmons Bank,None,None,Mr. Joe Fries,Phone: ,(479) 621-6242,joe.fries@simmonsbank.com,Fax:  ,None,None,None,None,http://www.simmonsbank.com,None,None,"2832 West Sunset Ave. Springdale, AR 72762-0000",None,None,None,None,None,Banks/Financial Institutions
The Bank of Fayetteville,None,None,Ms. Abby Smith,Phone: ,(479) 409-1913,alsmith@mebanking.com,Fax:  ,None,None,None,None,http://www.mebanking.com,None,None,"1 South Block Ave. Fayetteville, AR 72701",None,None,None,None,None,Banks/Financial Institutions
 Today's Bank,None,None,Ms. Brooke Chandler,Phone: ,(479) 751-9260,None,None,None,bchandler@todaysbank.com,Fax:  ,(479) 717-6860,None,None,None,http://www.todaysbank.com,None,None,"5178 West Sunset Ave. Springdale, AR 72762",None,None,Banks/Financial Institutions
United Bank,None,None,Ms. Lauren Johnson,Phone: ,(479) 756-8811,lauren.johnson@united-bk.com,Fax:  ,(479) 750-3782,None,None,None,http://www.united-bk.com,None,None,"2600 South Thompson St. Springdale, AR 72764-0000",None,None,None,None,None,Banks/Financial Institutions
United Federal Credit Union,None,None,Ms. Maria Balderas,Phone: ,(479) 646-0114,mbalderas@unitedfcu.com,Fax:  ,(479) 750-8979,None,None,None,http://www.unitedfcu.com,None,None,"1910 South Thompson St. Springdale, AR 72762-0000",None,None,None,None,None,Banks/Financial Institutions
ABC Block Company,None,None,Mr. Ref Castillo,Phone: ,(479) 751-2198,ref.abcblock@gmail.com,Fax:  ,(479) 751-1749,None,None,None,http://www.abcblock.com,None,None,"2205 Arkhola Dr. Springdale, AR 72764-0000",None,None,None,None,None,Block / Concrete Company
Anderson Custom Homes,None,None,Mr. Skip Anderson,Phone: ,(479) 419-5501,None,None,None,andersoncustomhomesnwa@gmail.com,Fax:  ,None,None,None,None,https://www.facebook.com/CrawfordRealEstate/,None,None,"241 South Elm Springs Rd. Elm Springs, AR 72762",None,None,Builders/Contractors
"APAC Central, Inc.",None,None,Mr. Murry Cline,Phone: ,(479) 587-3300,murry.cline@apac.com,Fax:  ,(479) 521-2826,None,None,None,http://www.apaccentralinc.com,None,None,"755 East Millsap Rd. Fayetteville, AR 72703",None,None,None,None,None,Builders/Contractors
"Baldwin & Shell Construction, Inc.",None,None,Patrick Tenney,Phone: ,(479) 845-1111,ptenney@baldwinshell.com,Fax:  ,(479) 845-1115,None,None,None,http://www.baldwinshell.com,None,None,"6514-A Lynch's Prairie Cove Springdale, AR 72762-0000",None,None,None,None,None,Builders/Contractors
"CDI Contractors, LLC",None,None,Matt Bodishbaugh,Phone: ,(479) 695-1020,None,None,None,jramsey@cdicon.com,Fax:  ,(479) 695-1025,None,None,None,http://www.cdicon.com,None,None,"4285 North Shiloh Dr., Ste. 302 Fayetteville, AR 72703",None,None,Builders/Contractors
"Commerce Construction Company, Inc.",None,None,Mr. Bo Wilkins,Phone: ,(479) 751-4432,bo@ccinwa.com,Fax:  ,(479) 751-6241,None,None,None,http://www.ccinwa.com,None,None,"695 North 40th St. Springdale, AR 72762-0000",None,None,None,None,None,Builders/Contractors
"Crossland Construction Company, Inc.",None,None,Mr. Chris Schnurbusch,Phone: ,(479) 464-7077,cjs@crosslandconstruction.com,Fax:  ,(479) 4647050,None,None,None,http://www.crossland.com,None,None,"1800 South 52nd St., Ste. 410 Rogers, AR 72758",None,None,None,None,None,Builders/Contractors
Crum & Marshall Waterproofing,None,None,Shanna Crum,Phone: ,(479) 750-0325,crumwtpr@aol.com,Fax:  ,(479) 750-3364,None,None,None,https://www.crum.com/,None,None,"P.O. Box 7057 Springdale, AR 72766",None,None,None,None,None,Builders/Contractors
"Dean Crowder Construction, Inc.",None,None,Mr. Todd Crowder,Phone: ,(479) 273-5304,tcrowder@crowdernwa.com,Fax:  ,(479) 273-0574,None,None,None,http://www.crowdenwa.com,None,None,"804 South East 21st St. Bentonville, AR 72712",None,None,None,None,None,Builders/Contractors
"Flintco, LLC",None,None,Mr. Brent Farmer,Phone: ,(479) 306-6311,bfarmer@flintco.com,Fax:  ,None,None,None,None,http://www.flintco.com,None,None,"184 East Fantinel Blvd. Springdale, AR 72762-0000",None,None,None,None,None,Builders/Contractors
"Highlands Construction & Development, LLC",None,None,Mr. Mark Deihl,Phone: ,(479) 248-1067,mdeihl@deihlenterprises.com,Fax:  ,(479) 248-1257,None,None,None,https://www.highlandsconstruction.com/,None,None,"1894 E. 1st Avenue Bentonville, AR 72712",None,None,None,None,None,Builders/Contractors
Kinco Constructors,None,None,Mr. Marc Dillard,Phone: ,(479) 751-8606,None,None,None,marc@kinco.net,Fax:  ,(479) 751-5659,None,None,None,http://www.kincoconstructors.com,None,None,"3803 Kelley Ave. Springdale, AR 72762-0000",None,None,Builders/Contractors
Lance Johnson Building Company,None,None,Mr. E.J. Johnson,Phone: ,(479) 717-2952,None,None,None,ejrealtor1@gmail.com,Fax:  ,None,None,None,None,http://www.lancejohnsonbuildingcompany.com,None,None,"1200 North 40th St. Springdale, AR 72764",None,None,Builders/Contractors
"Lindsey Construction Company, Inc.",None,None,Mr. Scott Rogerson,Phone: ,(479) 521-6686,scott.rogerson@lindseymgmt.com,Fax:  ,(479) 521-8615,None,None,None,https://www.lindseymgmt.com/,None,None,"1183 East Joyce, Ste. 1 Fayetteville, AR 72703-0000",None,None,None,None,None,Builders/Contractors
"Milestone Construction Company, LLC",None,None,Mr. Sam Hollis,Phone: ,(479) 751-3560,shollis@mstonecc.com,Fax:  ,(479) 751-4841,None,None,None,http://www.mstonecc.com,None,None,"2002 South 48th St., Ste. A Springdale, AR 72762",None,None,None,None,None,Builders/Contractors
Nabholz Construction Corporation,None,None,Ms. Theresa Ellis,Phone: ,(479) 659-7800,theresa.ellis@nabholz.com,Fax:  ,None,None,None,None,http://www.nabholz.com,None,None,"3301 North 2nd St. Rogers, AR 72756",None,None,None,None,None,Builders/Contractors
Northwest Arkansas Home Builders Association,None,None,Ms. Shana Kasparek,Phone: ,(479) 751-6688,eo@nwabuilders.com,Fax:  ,(479) 751-6116,None,None,None,https://nwahba.com/,None,None,"2022 Long St., Ste. C Springdale, AR 72764-0000",None,None,None,None,None,Builders/Contractors
SSI Incorporated of Northwest Arkansas,None,None,Mr. Trent Hanna,Phone: ,(479) 361-5857,None,None,None,crigler@ssigc.com,Fax:  ,(479) 361-5860,None,None,None,https://ssiofnwa.com/,None,None,"400 Jean Mary Ave. Springdale, AR 72762",None,None,Builders/Contractors
Sweetser Construction,None,None,Mr. William Sweetser,Phone: ,(479) 443-3026,billy@sweetserconstruction.com,Fax:  ,(479) 442-0119,None,None,None,http://www.sweetserconstruction.com,None,None,"590 West Poplar St. Fayetteville, AR 72703-0000",None,None,None,None,None,Builders/Contractors
Trulove Construction,None,None,Mr. Matt Trulove,Phone: ,(870) 423-4709,matt@trulovedirtworks.com,Fax:  ,None,None,None,None,www.truloveconstructionnwa.com,None,None,"1457 East Robinson Ave. Springdale, AR 72764",None,None,None,None,None,Builders/Contractors
Verucchi Construction,None,None,David Verucchi,Phone: ,(479) 841-3675,None,None,None,davidv6@cox.net,Fax:  ,(479) 756-8549,None,None,None,https://www.bbb.org/us/ar/springdale/profile/home-builders/verucchi-construction-company-0935-90256311,None,None,"219 Ahlstrand Ter. Springdale, AR 72762-0000",None,None,Builders/Contractors
Whorton Construction,None,None,Marshawn Whorton,Phone: ,(479) 872-0600,None,None,None,marshawn@thewhortongroup.com,Fax:  ,(479) 872-0616,None,None,None,https://www.bbb.org/us/ar/springdale/profile/construction-services/whorton-construction-of-northwest-arkansas-0935-90097105,None,None,"P.O Box 6964 Springdale, AR 72766",None,None,Builders/Contractors
"Harris International Laboratories, Inc.",None,None,Ms. Ashley Harvey,Phone: ,(479) 756-9877,None,None,None,info@evapo-rust.com,Fax:  ,(479) 927-3202,None,None,None,www.evapo-rust.com,None,None,"2078 Ford Ave. Springdale, AR 72764",None,None,Chemical Sales/Manufacturing
Child Care Aware of Northwest Arkansas,None,None,Ms. Michelle Wynn,Phone: ,(479) 899-6374,None,None,None,mwynn@nwachildcare.org,Fax:  ,None,None,None,None,http://www.nwachildcare.org,None,None,"1401 South 8th St. Rogers, AR 72756",None,None,Child Care Facilities
First United Methodist Church,None,None,Mrs. Kristal Williams,Phone: ,(479) 751-4610,kwilliams@firstchurchspringdale.org,Fax:  ,(479) 751-4612,None,None,None,http://www.firstchurchspringdale.org,None,None,"206 West Johnson Ave. Springdale, AR 72764-4315",None,None,None,None,None,Child Care Facilities
Goddard School of Springdale,None,None,Mrs. Kim Circle,Phone: ,(479) 481-6644,kim.circle@yahoo.com,Fax:  ,None,None,None,None,http://www.goddardschools.com,None,None," Springdale, AR 72762",None,None,None,None,None,Child Care Facilities
Orchard Children's Academy,None,None,Ms. Jennifer Buttram,Phone: ,(479) 751-5257,None,None,None,ocadirector@gmail.com,Fax:  ,(479) 751-4256,"2987 Cambridge St. Springdale, AR 72764",None,None,None,None,None,Salem Lutheran Ministers,None,None,Child Care Facilities
Salem Lutheran Ministers,None,None,Kris Busch,Phone: ,(479) 751-9500,krisb.180@gmail.com,Fax:  ,(479) 750-2028,None,None,None,http://www.salemspringdale.com,None,None,"1800 West Emma Ave. Springdale, AR 72762-0000",None,None,None,None,None,Child Care Facilities
SOAR Afterschool Program,None,None,Mr. Ben Rediske,Phone: ,(479) 282-8988,None,None,None,soar@soarafterschool.com,Fax:  ,None,None,None,None,http://www.soarafterschool.com,None,None,"922 East Emma Ave. Springdale, AR 72764",None,None,Child Care Facilities
Springdale Early Learning Academy,None,None,Ms. Austyn Fasske,Phone: ,(479) 927-6251,None,None,None,wacd@wacd.net,Fax:  ,(479) 430-7195,None,None,None,www.wacd.net,None,None,"2920 American St. Springdale, AR 72764",None,None,Child Care Facilities
Arkansas Children's Northwest,None,None,Mrs. Shannon Hendrix,Phone: ,(479) 725-6800,None,None,None,montaguepa@archildrens.org,Fax:  ,(479) 725-6578,None,None,None,http://www.archildrens.org,None,None,"2601 Gene George Blvd. Springdale, AR 72762",None,None,Children's Health/Therapy
Elizabeth Richardson Center,None,None,Ms. Kimberly Aaron,Phone: ,(479) 872-1800,kaaron@ercinc.org,Fax:  ,(479) 872-4654,None,None,None,http://www.ercinc.org,None,None,"3917 South Old Missouri Rd. Springdale, AR 72764",None,None,None,None,None,Children's Health/Therapy
Home Bound,None,None,Mrs. Gayla Gray,Phone: ,(479) 347-7915,gayla@homeboundmedical.com,Fax:  ,(870) 424-2223,None,None,None,http://www.homeboundmedical.com,None,None,"2060 Orchard St., Ste. 200 Springdale, AR 72764",None,None,None,None,None,Children's Health/Therapy
Kids Unlimited Learning Academy,None,None,Ms. Kaylee Bridges,Phone: ,(870) 260-6982,kayleebridges@mykidsunlimited.com,Fax:  ,(479) 777-2800,None,None,None,http://www.mykidsunlimited.com,None,None,"1268 Electric Ave. Springdale, AR 72764",None,None,None,None,None,Children's Health/Therapy
Centro Cristiano Springdale,None,None,Mr. Jose Ruiz,Phone: ,(479) 872-4777,None,None,None,edcantu13@gmail.com,Fax:  ,(479) 872-4783,None,None,None,https://ccspringdale.org/,None,None,"1751 North 56th St. Springdale, AR 72762",None,None,Churches
Cross Church Springdale Campus,None,None,Ben Mayes,Phone: ,(479) 751-4523,benm@crosschurch.com,Fax:  ,(479) 750-0883,None,None,None,http://www.crosschurch.com,None,None,"1709 Johnson Rd. Springdale, AR 72762-0000",None,None,None,None,None,Churches
First Assembly of God,None,None,Pastor Keith Underhill,Phone: ,(479) 751-4459,None,None,None,jkeithunderhill@gmail.com,Fax:  ,(479) 751-4451,None,None,None,http://www.springdalefirst.com,None,None,"1605 West Robinson Ave. Springdale, AR 72764",None,None,Churches
First Presbyterian Church of Springdale,None,None,Dr. Susan Arnold,Phone: ,(479) 751-2040,None,None,None,office@fpcspringdale.org,Fax:  ,(479),None,None,None,https://www.fpcspringdale.org/,None,None,"100 S. Gutensohn Road Springdale, AR 72762",None,None,Churches
First United Methodist Church,None,None,Mrs. Kristal Williams,Phone: ,(479) 751-4610,kwilliams@firstchurchspringdale.org,Fax:  ,(479) 751-4612,None,None,None,http://www.firstchurchspringdale.org,None,None,"206 West Johnson Ave. Springdale, AR 72764-4315",None,None,None,None,None,Churches
Iglesia Fe Y Poder En Jesus,None,None,Mr. Zuzuki Baltazar,Phone: ,(479) 419-8337,zbestrella@icloud.com,Fax:  ,None,None,None,None,https://www.churchofjesuschrist.org/topics/faith?lang=spa,None,None,"214 East Robinson Ave. Springdale, AR 72764",None,None,None,None,None,Churches
Temple Baptist Church,None,None,Mr. Keith Buttram,Phone: ,(479) 751-4255,None,None,None,don@tbcemail.com,Fax:  ,(479) 751-4256,None,None,None,http://www.tbcspringdale.com,None,None,"2987 Cambridge Springdale, AR 72764",None,None,Churches
"DC Sparks Construction, LLC",None,None,Mrs. Melody Sparks,Phone: ,(479) 365-2889,None,None,None,melody.sparks@dcsparksconst.com,Fax:  ,(479) 365-7014,None,None,None,http://www.dcsparksconstruction.com,None,None,"8871 Lola Jeane Ln. Rogers, AR 72756",None,None,Commercial Construction
Emery Sapp & Sons,None,None,Mr. Billy Wallis,Phone: ,(479) 844-5030,None,None,None,billy.wallis@emerysapp.com,Fax:  ,None,None,None,None,http://www.emerysapp.com,None,None,"5168 North Oak St. Springdale, AR 72764",None,None,Commercial Construction
Generation Sports Construction,None,None,Mr. Jonathon Morton,Phone: ,(239) 295-0023,None,None,None,jonny@generationsportsconstruction.com,Fax:  ,None,None,None,None,http://www.generationsportsconstruction.com,None,None,"3511 SE J Street #155, Suite 9 Bentonville, AR 72712",None,None,Commercial Construction
Gold Mechanical,None,None,Ms. Carla Ruark,Phone: ,(479) 472-3245,None,None,None,cruark@goldmechanical.com,Fax:  ,None,None,None,None,http://www.goldmechanical.com,None,None,"1107 B Shaver Dr. Springdale, AR 72762",None,None,Commercial Construction
"R & M Acoustics, Inc.",None,None,Mr. Cory Payne,Phone: ,(479) 267-2724,None,None,None,randm_payne@yahoo.com,Fax:  ,(479) 846-4808,None,None,None,https://www.bbb.org/us/ar/springdale/profile/acoustical-ceiling-contractors/r-m-acoustics-inc-0935-13230,None,None,"565 Gage Pl., Ste. D Springdale, AR 72764",None,None,Commercial Construction
Shawmut Design and Construction,None,None,Ms. Meloni Carter,Phone: ,(479) 309-3341,None,None,None,mcarter@shawmut.com,Fax:  ,None,None,None,None,https://www.shawmut.com/,None,None,"1004 SE Finch Lane Bentonville, AR ",None,None,Commercial Construction
"DC Sparks Construction, LLC",None,None,Mrs. Melody Sparks,Phone: ,(479) 365-2889,None,None,None,melody.sparks@dcsparksconst.com,Fax:  ,(479) 365-7014,None,None,None,http://www.dcsparksconstruction.com,None,None,"8871 Lola Jeane Ln. Rogers, AR 72756",None,None,Commercial General Contractor
Colliers | Arkansas,None,None,Ms. Stephanie Williams,Phone: ,(479) 636-9000,None,None,None,stephanie.williams@colliers.com,Fax:  ,(479) 254-3799,None,None,None,www.colliers.com,None,None,"4204 South Pinnacle Hills Pkwy., Ste. 102 Rogers, AR 72758",None,None,Commercial Real Estate Brokers
Ivy 35 Ventures,None,None,Ms. Jordan Garner,Phone: ,(479) 966-9471,jordan@ivythirtyfive.com,Fax:  ,None,None,None,None,https://www.ivy.fund/,None,None,"P.O. Box 1526 Fayetteville, AR 72702",None,None,None,None,None,Commercial Real Estate Brokers
Keller Williams Commercial Real Estate The Gleghorn Group,None,None,Mr. Roger Reithemeyer,Phone: ,(479) 633-3847,roger@rbkenterprise.net,Fax:  ,None,None,None,None,https://susangleghorn.kw.com/,None,None,"1126 South 13th St. Rogers, AR 72758",None,None,None,None,None,Commercial Real Estate Brokers
"Mathias Properties, Inc.",None,None,Arthur Thurman,Phone: ,(479) 750-9100,athurman@mathiasproperties.com,Fax:  ,(479) 750-0953,None,None,None,http://www.mathiasproperties.com,None,None,"5571 Bleaux Ave. Springdale, AR 72762-0000",None,None,None,None,None,Commercial Real Estate Brokers
